iter	RMSE
0	110.2768973
1	106.5836125
2	102.9286687
3	99.657828
4	96.48208298
5	93.96219177
6	91.35044615
7	88.49102071
8	86.09618222
9	83.68074763
10	81.58239478
11	79.32357694
12	77.1237812
13	75.28468183
14	73.75857744
15	72.39615986
16	70.98993768
17	69.66548887
18	68.60030366
19	66.9956369
20	65.99070906
21	65.11797565
22	64.44894885
23	63.54799828
24	62.99506848
25	62.33768589
26	61.83473626
27	61.42148904
28	60.54371488
29	60.0712866
30	59.17619812
31	58.65603697
32	57.86549027
33	57.42105395
34	57.09991588
35	56.58334906
36	56.14526178
37	55.3201468
38	54.5572084
39	54.03183842
40	53.4478901
41	53.12826009
42	52.76990818
43	52.27244035
44	51.87845622
45	51.49474937
46	50.8785467
47	50.42563053
48	50.27947233
49	49.86777589
50	49.58441961
51	49.02773462
52	48.81115832
53	48.20821256
54	48.03738917
55	47.47661827
56	47.09502536
57	46.65154917
58	46.23740705
59	45.90335542
60	45.24141199
61	44.50532787
62	44.15432326
63	43.55548189
64	43.04929626
65	42.63916287
66	42.51101838
67	42.25640159
68	41.61218201
69	41.26080508
70	41.11364526
71	40.98764166
72	40.62173541
73	40.37754095
74	40.22121627
75	40.04456486
76	39.75411607
77	39.53571396
78	39.25039891
79	38.87695329
80	38.53980796
81	38.26229077
82	37.85063461
83	37.35497447
84	36.91433841
85	36.58795417
86	36.11106081
87	35.92559106
88	35.55430989
89	35.15526608
90	34.89144696
91	34.54651406
92	34.22350244
93	33.7944538
94	33.52072501
95	33.35257712
96	33.28084553
97	33.21410033
98	32.9886017
99	32.9186639
