iter	Passed	Remaining
0	3	377
1	6	294
2	8	266
3	10	249
4	12	235
5	14	227
6	17	236
7	20	234
8	23	232
9	25	228
10	27	223
11	30	220
12	33	225
13	37	228
14	39	223
15	42	221
16	48	239
17	54	247
18	58	250
19	62	249
20	67	254
21	71	252
22	73	245
23	75	239
24	77	233
25	79	226
26	82	222
27	86	221
28	88	215
29	90	210
30	92	206
31	94	201
32	100	204
33	107	208
34	114	211
35	120	213
36	127	217
37	136	222
38	145	226
39	154	231
40	162	233
41	165	229
42	175	233
43	186	236
44	188	230
45	190	224
46	193	218
47	197	214
48	201	209
49	203	203
50	205	197
51	208	192
52	215	191
53	218	185
54	221	180
55	227	178
56	230	173
57	232	168
58	234	163
59	238	158
60	240	153
61	242	148
62	244	143
63	246	138
64	248	133
65	252	130
66	255	125
67	258	121
68	262	118
69	267	114
70	269	110
71	271	105
72	274	101
73	276	97
74	279	93
75	281	88
76	283	84
77	285	80
78	287	76
79	289	72
80	293	68
81	296	65
82	298	61
83	301	57
84	304	53
85	308	50
86	311	46
87	314	42
88	317	39
89	319	35
90	322	31
91	327	28
92	331	24
93	336	21
94	338	17
95	340	14
96	342	10
97	344	7
98	346	3
99	349	0
